rank	city	state	pop2012	pop2013
258	Midwest City	Oklahoma	56153	56756
259	Greenville	South Carolina	60746	61397
260	San Ramon	California	73726	74513
261	Portland	Oregon	603026	609456
262	Bowie	Maryland	56161	56759
263	Bryan	Texas	77880	78709
264	Orem	Utah	90684	91648
265	Hoboken	New Jersey	52026	52575
266	Cambridge	Massachusetts	106172	107289
267	Pharr	Texas	73024	73790
268	Weston	Florida	67679	68388
269	Grand Island	Nebraska	50026	50550
270	Ames	Iowa	61153	61792
271	Warner Robins	Georgia	71783	72531
272	Lexington	Kentucky	305252	308428
273	Kennewick	Washington	75977	76762
274	McAllen	Texas	135242	136639
275	Santa Rosa	California	170234	171990
276	Alameda	California	75641	76419
277	Indianapolis city (balance)	Indiana	834843	843393
278	Murrieta	California	106392	107479
279	Santa Maria	California	101189	102216
280	Coral Springs	Florida	125332	126604
281	Santa Barbara	California	89508	90412
282	Napa	California	78281	79068
283	Wyoming	Michigan	73365	74100
284	High Point	North Carolina	106678	107741
285	Chesapeake	Virginia	228303	230571
286	Grand Rapids	Michigan	190414	192294
287	Waco	Texas	127771	129030
288	San Rafael	California	58419	58994
289	Richmond	California	106524	107571
290	Atlanta	Georgia	443505	447841
291	Champaign	Illinois	82619	83424
292	Santa Monica	California	91588	92472
293	Turlock	California	69695	70365
294	Columbia	South Carolina	132094	133358
295	Tulsa	Oklahoma	394349	398121
296	Eagan	Minnesota	64835	65453
297	Tamarac	Florida	62562	63155
298	Salinas	California	154201	155662
299	Boise City	Idaho	212237	214237
300	Moore	Oklahoma	57869	58414
301	Flower Mound town	Texas	67969	68609
302	Joplin	Missouri	50316	50789
303	West New York town	New Jersey	51637	52122
304	Grand Prairie	Texas	181667	183372
305	Santa Ana	California	331128	334227
306	Concord	California	124718	125880
307	Pasadena	California	138443	139731
308	West Valley City	Utah	132349	133579
309	St. Petersburg	Florida	247394	249688
310	Vista	California	96041	96929
311	Hempstead village	New York	54855	55361
312	Carrollton	Texas	125542	126700
313	Yorba Linda	California	66420	67032
314	Lauderhill	Florida	69176	69813
315	Fort Lauderdale	Florida	170819	172389
316	Oceanside	California	171222	172794
317	Lafayette	Indiana	69734	70373
318	White Plains	New York	57341	57866
319	Beaverton	Oregon	92697	93542
320	Victoria	Texas	64511	65098
321	Sacramento	California	475367	479686
322	Newton	Massachusetts	87180	87971
323	Salt Lake City	Utah	189462	191180
324	Winston-Salem	North Carolina	234322	236441
325	Santa Fe	New Mexico	69350	69976
326	Arlington	Texas	376215	379577
327	Rochester Hills	Michigan	72308	72952
328	Anchorage municipality	Alaska	298294	300950
329	Fontana	California	201217	203003
330	Oxnard	California	201226	203007
331	Daly City	California	103823	104739
332	Federal Way	Washington	91923	92734
333	Richardson	Texas	103562	104475
334	Dothan	Alabama	67407	68001
335	Bayonne	New Jersey	64460	65028
336	Palo Alto	California	66063	66642
337	Lynwood	California	70751	71371
338	Hoover	Alabama	83397	84126
339	Buena Park	California	82166	82882
340	Revere	Massachusetts	53292	53756
341	Vallejo	California	117814	118837
342	Sunnyvale	California	146292	147559
343	Weymouth Town	Massachusetts	54944	55419
344	Margate	Florida	54982	55456
345	Hollywood	Florida	145275	146526
346	Glendale	California	194364	196021
347	South San Francisco	California	65615	66174
348	Jurupa Valley	California	97205	98030
349	Madera	California	62575	63105
350	Deerfield Beach	Florida	77387	78041
351	Cathedral City	California	52535	52977
352	Brookhaven	Georgia	50181	50603
353	Port Orange	Florida	56727	57203
354	Tyler	Texas	99390	100223
355	Honolulu	Hawaii	344997	347884
356	Salem	Oregon	159282	160614
357	Victorville	California	120092	121096
358	Missoula	Montana	68551	69122
359	Visalia	California	126709	127763
360	Avondale	Arizona	78173	78822
361	Fresno	California	505736	509924
362	Miami	Florida	414221	417650
363	Santa Clara	California	119261	120245
364	Plano	Texas	272178	274409
365	Los Angeles	California	3852782	3884307
366	Brooklyn Park	Minnesota	77737	78373
367	Deltona	Florida	85593	86290
368	Troy	Michigan	82153	82821
369	Clearwater	Florida	108820	109703
370	Louisville	Kentucky	604990	609893
371	Daytona Beach	Florida	61819	62316
372	Yuba City	California	64895	65416
373	Citrus Heights	California	84607	85285
374	Chico	California	87378	88077
375	Cupertino	California	59712	60189
376	Sandy	Utah	89521	90231
377	Eau Claire	Wisconsin	67014	67545
378	La Mesa	California	58181	58642
379	Jersey City	New Jersey	255325	257342
380	Athens-Clarke County unified government (balance)	Georgia	119041	119980
381	Sarasota	Florida	52910	53326
382	Merced	California	80471	81102
383	Davenport	Iowa	101367	102157
384	Kansas City	Kansas	147335	148483
385	Escondido	California	147593	148738
386	Euless	Texas	52815	53224
387	Beaumont	Texas	116894	117796
388	Lee's Summit	Missouri	92479	93184
389	Frederick	Maryland	66387	66893
390	Tustin	California	77742	78327
391	Gardena	California	59512	59957
392	Eugene	Oregon	158013	159190
393	Brownsville	Texas	180521	181860
394	Mission	Texas	80455	81050
395	Johnson City	Tennessee	64647	65123
396	New York City	New York	8344397	8405837
397	Provo	Utah	115441	116288
398	Norwalk	Connecticut	87137	87776
399	Hawthorne	California	85573	86199
400	Roanoke	Virginia	97764	98465
401	El Cajon	California	101486	102211
402	Jacksonville	Florida	836608	842583
403	Fort Wayne	Indiana	254688	256496
404	Naperville	Illinois	143844	144864
405	Royal Oak	Michigan	58532	58946
406	Modesto	California	203508	204933
407	Jackson	Tennessee	67215	67685
408	Virginia Beach	Virginia	445378	448479
409	DeSoto	Texas	51128	51483
410	Glendora	California	50722	51074
411	Peoria	Illinois	115710	116513
412	Shoreline	Washington	54415	54790
413	Newport News	Virginia	180781	182020
414	Newport Beach	California	86681	87273
415	National City	California	59431	59834
416	Yonkers	New York	198422	199766
417	Gainesville	Florida	126636	127488
418	Hemet	California	81208	81750
419	Woodland	California	56215	56590
420	Melbourne	Florida	76996	77508
421	Farmington Hills	Michigan	80759	81295
422	Rancho Cucamonga	California	170257	171386
423	Palm Bay	Florida	104211	104898
424	Everett	Washington	104682	105370
425	Largo	Florida	77916	78409
426	Elizabeth	New Jersey	126757	127558
427	Appleton	Wisconsin	73137	73596
428	Suffolk	Virginia	85194	85728
429	Mount Vernon	New York	67801	68224
430	Great Falls	Montana	58984	59351
431	Davis	California	65796	66205
432	Haverhill	Massachusetts	61705	62088
433	Johns Creek	Georgia	82278	82788
434	Chattanooga	Tennessee	172304	173366
435	Ocala	Florida	57119	57468
436	Laguna Niguel	California	64261	64652
437	Sterling Heights	Michigan	130438	131224
438	Ann Arbor	Michigan	116328	117025
439	Simi Valley	California	125436	126181
440	Southfield	Michigan	72578	73006
441	Redondo Beach	California	67418	67815
442	Knoxville	Tennessee	182200	183270
443	Apple Valley town	California	70510	70924
444	Hanford	California	54368	54686
445	Kansas City	Missouri	464299	467007
446	Tulare	California	60816	61170
447	Lancaster	California	158601	159523
448	Eden Prairie	Minnesota	62246	62603
449	Passaic	New Jersey	70464	70868
450	Gastonia	North Carolina	72792	73209
451	Gresham	Oregon	108780	109397
452	Fountain Valley	California	56389	56707
453	Tacoma	Washington	202308	203446
454	Bellingham	Washington	82170	82631
455	El Monte	California	115064	115708
456	Garden Grove	California	174169	175140
457	Thousand Oaks	California	128019	128731
458	Placentia	California	51919	52206
459	Santa Clarita	California	178611	179590
460	Rowlett	Texas	57727	58043
461	Lake Forest	California	78881	79312
462	Hialeah	Florida	232126	233394
463	Taylorsville	Utah	60191	60519
464	Pontiac	Michigan	59565	59887
465	Waltham	Massachusetts	61894	62227
466	Alpharetta	Georgia	61965	62298
467	West Palm Beach	Florida	101889	102436
468	Anaheim	California	343176	345012
469	Owensboro	Kentucky	58106	58416
470	Burnsville	Minnesota	61108	61434
471	Quincy	Massachusetts	92998	93494
472	Lake Charles	Louisiana	73634	74024
473	Corvallis	Oregon	55008	55298
474	Redding	California	90650	91119
475	Lawrence	Massachusetts	77262	77657
476	Vacaville	California	93797	94275
477	Whittier	California	86197	86635
478	Peabody	Massachusetts	51781	52044
479	Plainfield	New Jersey	50333	50588
480	Minnetonka	Minnesota	51112	51368
481	Paramount	California	54708	54980
482	Chino Hills	California	76194	76572
483	Warren	Michigan	134215	134873
484	Spokane Valley	Washington	90670	91113
485	Orange	California	139290	139969
486	Lowell	Massachusetts	108335	108861
487	Malden	Massachusetts	60218	60509
488	Kalamazoo	Michigan	75188	75548
489	Lynn	Massachusetts	91153	91589
490	Pensacola	Florida	52453	52703
491	Harrisonburg	Virginia	51153	51395
492	Highland	California	54036	54291
493	San Clemente	California	64738	65040
494	Miami Gardens	Florida	110862	111378
495	Nashua	New Hampshire	86735	87137
496	Spokane	Washington	209754	210721
497	Clifton	New Jersey	85004	85390
498	Amarillo	Texas	195550	196429
499	Costa Mesa	California	111675	112174
500	Diamond Bar	California	56199	56449
501	Bloomington	Indiana	82212	82575
502	Union City	New Jersey	67947	68247
503	St. Clair Shores	Michigan	59812	60070
504	Blue Springs	Missouri	53066	53294
505	Upland	California	75091	75413
506	Porterville	California	54943	55174
507	Idaho Falls	Idaho	58048	58292
508	La Habra	California	61396	61653
509	North Miami	Florida	60753	61007
510	Camarillo	California	65811	66086
511	Pomona	California	150720	151348
512	Medford	Massachusetts	56933	57170
513	Fullerton	California	138410	138981
514	Ogden	Utah	83903	84249
515	Elgin	Illinois	109694	110145
516	Roswell	Georgia	93649	94034
517	Sandy Springs	Georgia	99362	99770
518	Springfield	Oregon	59932	60177
519	Perth Amboy	New Jersey	51771	51982
520	Rosemead	California	54342	54561
521	Janesville	Wisconsin	63565	63820
522	Monterey Park	California	60843	61085
523	Garland	Texas	233638	234566
524	Wheaton	Illinois	53437	53648
525	Miami Beach	Florida	90668	91026
526	Torrance	California	146906	147478
527	East Orange	New Jersey	64297	64544
528	St. Cloud	Minnesota	66047	66297
529	Mount Prospect village	Illinois	54565	54771
530	Huntington Park	California	58658	58879
531	West Covina	California	107337	107740
532	Ontario	California	166876	167500
533	Burbank	California	104320	104709
534	Rialto	California	101540	101910
535	Elkhart	Indiana	51079	51265
536	Dubuque	Iowa	58042	58253
537	Des Moines	Iowa	206765	207510
538	Colton	California	53052	53243
539	Baldwin Park	California	76361	76635
540	Hesperia	California	91821	92147
541	Little Rock	Arkansas	196661	197357
542	Lakewood	California	80835	81121
543	Pasadena	Texas	152204	152735
544	Brockton	Massachusetts	93763	94089
545	Palatine village	Illinois	69111	69350
546	Downey	California	112853	113242
547	Norwalk	California	106226	106589
