games	name	rating	years
67	ASABRI, Hussien	2286	2004-2014
45	ALLEN, Keith	2289	1988-2014
118	ANDRIASIAN, Siranush	2290	2001-2010
77	ANDERSON, Bruce R	2290	1963-2003
24	ANGELOV, Kosta	2292	1971-2013
49	ATAKISI, Fatih	2293	1999-2007
22	ALFRED, Nathan S W	2294	1997-2012
36	ALTAN-OCH, Genden	2295	1994-2005
40	ANGANTYSSON, Haukur	2295	1968-1986
24	AHMED, Haseeb	2296	2000-2012
26	AIGNER, Michael	2298	2000-2007
55	ADU, Oladapo Oluto	2298	1998-2012
36	ARJUN, Bharat	2298	2010-2012
138	ABDULLA, Khayala	2299	2008-2015
34	APAYDIN, Fethi	2300	2002-2013
103	AULIN-JANSSON, Joran	2300	1977-2014
27	APPLEBERRY, Martin	2301	1973-2004
82	AL-TAMIMI, Hamad	2304	1998-2015
124	ALBANO, Marco	2304	1966-2004
45	ANDREASEN, Per Naesby	2304	1991-2013
44	AIKHOJE, Odion	2305	1998-2009
22	ARAMBEL, Sergio Javier	2307	1995-2005
24	ALAGULIAN, Kamo	2307	1999-2015
27	ASHIKU, Franc	2310	2005-2014
36	ACKERMANN, Hans Werner	2310	1976-2015
21	AKHSHARUMOVA, Anna M	2310	1975-1990
29	ADNOY, Hallvard Voll	2312	2000-2007
30	AFANASIEV, Nikita	2313	2012-2013
40	AZAROVA, Nadezhda	2314	2006-2009
73	AARON, Manuel	2315	1960-2002
24	ANDERSSON, Fredrik	2317	1975-2010
25	ARMBRUST, Florian	2326	2005-2014
36	ARVIND, Shastry	2330	2003-2011
57	AKETAYEVA, Dana	2330	2001-2006
169	AL-HUWAR, Jasem	2334	1999-2014
21	ABDALLA, Luiz Guilherme Aurelli	2335	2011-2014
58	ANDONOVSKI, Ljubisa	2335	2000-2014
31	ANDREWS, Todd D	2337	1998-2015
112	AUGUSTIN, Josef	2337	1959-2006
27	ALTSHUL, Raffael	2343	2005-2012
45	ASAUSKAS, Henrikas	2345	1998-2007
147	AMBARTSUMOVA, Karina	2346	2006-2015
62	ABDULWAHHAB, Ahmed Abdulsattar A	2346	2004-2014
45	AKESSON, Joel	2346	2001-2010
68	AHN, Martin	2347	1994-2014
48	AGUIRRE, Manuel Abarca	2347	1982-2003
23	AMATO, Andrea	2350	2013-2015
21	AXELROD, Arie	2351	2005-2014
40	ADERITO, Pedro	2352	2002-2008
29	AMDOUNI, Zoubaier	2354	2002-2014
57	ADAMSON, Robby	2354	1989-2013
40	ALLAN, Denis	2355	1964-1999
21	ALLER, Fernando Sanchez	2355	1999-2013
22	AKULOV, Leonid	2357	1999-2007
55	ABDULLAH, Hassan	2357	2002-2012
22	AGGELIS, Nikolaos	2357	2008-2012
133	ARVOLA, Benjamin	2358	2006-2013
26	AARON, Deepak	2362	2008-2013
30	AGABABEAN, Naira	2362	1979-2008
61	ARUTYUNOVA, Diana	2362	2000-2012
88	ANTAL, Tibor Kende	2363	2008-2015
25	AGUADO, Enrique Fernandez	2365	1987-2012
87	AHARON, Ofir	2367	2008-2015
24	ASIK, Josip	2368	2001-2010
61	ANH, Duong The	2370	2002-2013
22	ANKERST, Mihael	2370	1992-2004
31	ANDREU, Eric Sos	2373	2012-2014
171	ALEXANDRIA, Nana	2375	1968-2001
85	AROUSY, Abdul Hameed El	2377	1988-2012
260	ABRAHAMYAN, Tatev	2378	1998-2015
21	ALAVERDYAN, Gevorg	2379	2001-2014
101	ARDUMAN, Can	2379	1988-2012
61	AHMED, Sk Nasir	2379	2001-2007
158	AGINIAN, Nelly	2380	1996-2012
81	AABLING-THOMSEN, Jakob	2380	2000-2014
67	ANDERSON, Renard W	2380	1985-2007
289	AFEK, Yochanan	2381	1977-2014
25	AL-SAFFAR, Araz Basim Mohammed S	2381	2000-2010
34	ASYLGUZHIN, Radik	2384	1999-2004
24	ARAKELOV, Ilya	2384	1995-2009
60	ANDRIJEVIC, Milan	2384	1980-2012
44	ABOLIANIN, Arthur	2385	1994-2012
30	AKHMETOV, Ayan	2386	2010-2014
24	ARAQUE, Rafael	2388	2001
37	ARIEL, Donny	2389	1994-2011
25	ARUN, Karthik R	2391	2007-2010
53	ADRIAN, Claude	2391	1986-2013
67	ABELN, Michiel	2393	1990-2010
86	ABDUMALIK, Zhansaya	2393	2007-2015
37	ARAT, Ufuk Sezen	2394	2008-2014
87	AVERKIN, Orest	2394	1964-1998
66	AL-ALI, Hussein Ali Hussein	2394	2007-2013
30	ARCHANGELSKY, Mikhail	2395	1992-2014
22	ASCIC, Pero	2396	1997-2010
22	ARTEMENKO, Oleg	2396	2011
51	AHMADINIA, Ebrahim	2398	2002-2014
135	ASHTON, Adam G	2398	2000-2015
40	ARMANDA, Ivica	2399	1996-2011
55	AABERG, Anton	2400	1991-2012
44	ALI, Sebbar	2400	2001-2014
50	AL-ZENDANI, Zendan	2400	2005-2012
45	AVERJANOV, Alexey	2400	2001-2006
44	AKKOZOV, Berik	2401	2010-2014
58	AGEICHENKO, Genadi A	2402	1966-2013
21	ARANOVITCH, Emiliano	2402	2007-2012
29	AYUPOV, Damir	2403	2001-2012
84	ALI, Omar Noaman Al	2403	2010-2014
255	ARNGRIMSSON, Dagur	2404	2000-2015
21	ALVIR, Aco	2404	1986-2012
30	ADNANI, Mokhlis	2404	1994-2012
194	ASMUNDSSON, Ingvar	2405	1957-2005
72	AFIFI, Assem	2405	1981-2001
67	VAN ASSENDELFT, Floris	2405	2005-2013
21	ALBARRACIN, Francisco Garcia	2406	1989-2001
70	ARIAS, Lemnys Antonio	2406	2001-2014
32	AYALA, Ivan Cabezas	2406	2001-2012
