Current residence	Population 1 year and over	Same house 1 year ago	Same state of residence 1 year ago	Different state of residence 1 year ago	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	District of Columbia	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New Hampshire	New Jersey	New Mexico	New York	North Carolina	North Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode Island	South Carolina	South Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West Virginia	Wisconsin	Wyoming	Total	Puerto Rico	U.S. Island Area	Foreign Country
Hawaii	1401004	1198766	131974	58144	510	1049	3126	0	12186	2286	507	0	900	3235	2876		286	939	1769	475	321	181	526	450	1061	160	944	60	370	366	125	268	1671	0	593	205	1992	1323	0	504	575	1063	682	159	681	0	1076	3834	542	0	3137	4513	0	591	27	12120	262	971	10887
Idaho	1613068	1335689	207055	64633	166	2966	3506	110	10057	2341	37	37	0	377	162	816		1747	251	343	732	31	125	38	239	41	415	467	141	710	3531	120	2110	0	66	294	463	1004	121	64	1011	4371	359	0	512	409	1361	2598	5725	529	572	11461	0	548	1549	5691	90	0	5601
Illinois	12730206	11021611	1430902	209536	1566	3205	2834	1234	15669	4066	1386	434	1138	14350	4394	765	795		19221	6471	2624	2403	2429	1040	2313	4491	11653	3934	2181	15333	1186	527	2284	24	2996	532	9781	5079	572	8414	2739	1132	6053	50	1857	117	4872	12270	613	355	3669	3065	177	15053	190	68157	1185	435	66537
Indiana	6516181	5540754	810518	139846	1229	295	3894	873	6372	1799	837	62	86	8690	2592	843	146	38177		2162	868	9486	937	62	2271	1402	9876	834	530	1754	246	216	1297	921	1116	331	1825	3332	214	11584	611	831	2000	265	1115	598	3844	5011	671	217	1687	1909	30	3283	615	25063	77	0	24986
Iowa	3067872	2594781	379518	79194	641	906	2644	957	3352	2461	520	380	79	1811	1067	274	175	13612	3293		1119	190	170	0	389	439	1813	8933	563	3247	29	8602	258	24	367	607	943	732	500	805	618	676	2240	0	243	1989	112	5164	505	113	1015	1287	161	2871	298	14379	0	0	14379
Kansas	2866584	2378716	376239	96467	830	1478	2115	906	6381	3350	503	0	0	4457	485	460	90	2618	308	1280		923	1947	103	0	550	1955	1599	280	22240	604	2637	2101	0	1730	609	1118	2053	497	1807	6031	511	606	0	83	201	954	11255	732	0	4563	2632	139	440	306	15162	113	0	15049
Kentucky	4357819	3663490	575429	104975	1409	623	1443	703	3709	2376	259	139	348	6905	4392	423	473	5478	12431	1043	913		1251	155	1168	390	2612	640	571	2490	0	525	665	69	757	74	2414	3965	0	16715	1012	375	1952	0	335	482	11393	5568	155	144	1779	1547	2220	194	291	13925	84	0	13841
Louisiana	4593505	3970442	511702	97814	4808	890	967	2293	4079	2540	716	122	383	7182	6384	1186	0	1961	150	0	1013	1734		0	1013	1484	1372	404	7926	2971	396	314	1001	291	543	301	2061	3185	167	2303	2385	646	585	123	911	365	2479	21516	445	0	3433	1518	369	648	251	13547	60	131	13356
Maine	1317638	1138397	134611	39065	0	0	612	0	2063	546	1470	324	154	2694	169	0	67	829	116	198	161	269	1014		365	6232	268	237	0	383	64	0	418	4100	941	923	3505	781	30	304	242	0	2269	438	240	63	15	2219	854	1086	752	832	17	720	81	5565	0	0	5565
Maryland	5911235	5091903	615601	156787	770	657	2018	500	7073	1834	1784	4790	17421	8637	6667	2157	78	2076	1057	476	128	804	1343	332		4088	2437	688	294	1117	39	206	521	644	7384	388	14661	8842	140	2948	335	392	13633	865	2576	0	787	5285	977	301	21822	1244	2598	754	219	46944	1154	51	45739
Massachusetts	6674907	5784744	672510	146622	519	1874	1011	234	14490	3008	13287	88	1689	9570	2718	404	441	3199	1269	681	402	253	531	3944	3344		1817	922	119	1058	297	0	384	11177	5381	213	20548	3035	50	1436	784	512	7067	9501	1094	123	1085	5352	624	2765	5948	1314	221	839	0	71031	4441	68	66522
Michigan	9795659	8336037	1261495	149991	2362	2119	6338	788	9754	1938	1124	112	411	11186	5007	881	132	14603	10692	1525	1118	3747	1212	261	1425	2248		2002	797	2185	289	455	1193	332	1774	579	6226	3778	725	12829	1174	443	3731	359	2444	455	7041	9446	403	35	3049	3049	560	5538	117	48136	717	232	47187
Minnesota	5385219	4612655	635880	106783	392	860	2837	570	9039	3451	200	86	70	3762	2539	110	326	9734	2682	5975	409	308	523	136	378	1127	1901		913	1842	965	881	942	188	749	557	1468	1152	8587	1955	505	1219	1665	270	414	4339	1214	3654	818	95	1949	1930	680	20375	42	29901	189	103	29609
Mississippi	2957658	2554296	321236	73927	6816	195	713	1462	6158	656	118	0	56	7000	4594	415	0	3500	1225	247	299	722	7162	0	139	536	2849	68		1073	457	680	126	157	59	751	1086	1198	0	1093	376	148	946	0	2005	0	10017	5546	657	0	818	851	447	506	0	8199	1343	0	6856
Missouri	5992195	5042396	776519	153320	2807	1013	3741	8043	6925	2959	225	0	378	5044	3133	203	1092	24210	4004	3502	18850	881	2100	375	2050	1140	2985	1394	841		658	3258	942	55	1160	1398	3116	2746	890	2639	6677	3351	2162	486	1617	663	3214	11322	1151	0	3540	1877	288	1506	709	19960	776	47	19137
Montana	1012169	845142	126508	37561	134	381	1873	288	5468	1899	24	0	0	1158	68	674	1788	673	685	272	840	124	249	11	156	926	842	739	398	114		406	709	0	0	352	84	110	1090	231	0	1953	527	0	0	444	15	2169	1972	178	511	5354	0	120	1552	2958	14	0	2944
Nebraska	1855356	1541744	252232	52200	510	521	1149	166	2391	3727	0	0	0	2684	1317	117	415	2717	559	7598	3351	329	405	200	519	857	319	2135	0	1493	567		801	0	106	591	932	363	396	543	560	232	1066	237	418	2704	401	3377	1656	0	1536	533	0	537	1165	9180	0	65	9115
Nevada	2806170	2235861	426512	130390	475	2893	8488	86	48954	3309	313	234	615	4116	2084	2210	1371	3699	533	1404	1106	649	309	11	871	536	1323	1522	643	1011	981	506		213	1206	2987	2175	1079	32	1680	1402	4032	2745	41	304	176	1945	5291	5977	162	1332	5753	493	754	359	13407	97	70	13240
New Hampshire	1314735	1134514	133298	41393	44	130	146	63	1658	260	3151	0	82	2303	177	0	0	819	0	0	165	309	164	4155	357	14692	157	0	588	0	0	0	434		1035	0	2479	343	523	328	148	247	1531	767	78	0	119	83	480	2200	846	148	0	184	0	5530	456	0	5074
New Jersey	8840346	7961796	686056	128911	216	382	1074	422	5961	1070	2269	1777	965	10532	3884	227	0	2167	795	12	502	503	894	133	3388	2956	1442	1277	394	179	327	44	226	370		652	44690	4386	131	1520	72	430	18958	913	873	0	1684	2885	113	290	4814	645	385	1082	0	63583	4180	0	59403
New Mexico	2060189	1770053	212456	68917	41	1526	8577	106	4986	4475	307	0	52	3064	87	304	594	2465	1201	27	490	65	1088	515	982	195	662	577	667	1680	691	1203	1163	436	300		1168	636	0	613	3394	1219	942	0	212	145	93	17073	297	245	1057	1584	25	996	692	8763	588	102	8073
